Header,internal_code
tr|O51865|O51865_ECOLX,kpsT_1
sp|P23888|KPST1_ECOLX,kpsT_2
fig|197.6677.peg.1347,kpsT_131
fig|1072516.40.peg.2908,kpsT_132
fig|427757.3.peg.2526,kpsT_133
fig|1729711.3.peg.2608,kpsT_134
fig|1929294.3.peg.2291,kpsT_135
fig|1904441.997.peg.1569,kpsT_136
fig|1903473.9.peg.2462,kpsT_137
fig|1204738.3.peg.4240,kpsT_138
fig|413502.59.peg.392,kpsT_139
fig|1062.212.peg.1025,kpsT_140
fig|1978229.139.peg.3154,kpsT_141
fig|562.147837.peg.772,kpsT_142
fig|1884366.4.peg.1220,kpsT_143
fig|1335060.147.peg.1341,kpsT_144
fig|3160979.3.peg.1302,kpsT_145
fig|3231483.3.peg.2715,kpsT_146
fig|561184.57.peg.5431,kpsT_147
fig|195.2192.peg.969,kpsT_148
fig|2479765.6.peg.3576,kpsT_149
fig|3061648.3.peg.3265,kpsT_150
fig|3233338.3.peg.3981,kpsT_151
fig|2025307.20.peg.1208,kpsT_152
fig|2743.133.peg.3005,kpsT_153
fig|2746.45.peg.480,kpsT_154
fig|659017.5.peg.289,kpsT_155
fig|42190.37.peg.2849,kpsT_156
fig|678.96.peg.113,kpsT_157
fig|2562705.274.peg.4829,kpsT_158
fig|2709688.330.peg.1420,kpsT_159
fig|1934400.29.peg.1060,kpsT_160
fig|1873897.6.peg.4936,kpsT_161
fig|1913988.3626.peg.3807,kpsT_162
fig|458836.44.peg.2884,kpsT_163
fig|2004541.3.peg.2141,kpsT_164
fig|1101446.58.peg.1618,kpsT_165
fig|172043.15.peg.1580,kpsT_166
fig|2771431.3.peg.718,kpsT_167
fig|2847862.281.peg.2342,kpsT_168
fig|91750.3307.peg.2556,kpsT_169
fig|91750.3305.peg.3429,kpsT_170
fig|91750.3690.peg.4135,kpsT_171
fig|91750.3546.peg.3725,kpsT_172
fig|153809.1345.peg.7969,kpsT_173
fig|1510457.3.peg.2409,kpsT_174
fig|1851544.43.peg.3745,kpsT_175
fig|1327752.3.peg.811,kpsT_176
fig|333969.15.peg.442,kpsT_177
fig|197.15150.peg.1202,kpsT_178
fig|459.19.peg.872,kpsT_179
fig|293958.18.peg.2424,kpsT_180
fig|2584090.3.peg.1671,kpsT_181
fig|498.7.peg.549,kpsT_182
fig|1946132.3.peg.2470,kpsT_183
fig|1200567.3.peg.1123,kpsT_184
