Header,internal_code
fig|999141.5.peg.522,kpsD_131
fig|229205.4.peg.3202,kpsD_132
fig|498.20.peg.390,kpsD_133
fig|2030927.670.peg.323,kpsD_134
fig|1913989.589.peg.2434,kpsD_135
fig|1486246.12.peg.3339,kpsD_136
fig|1869227.132.peg.238,kpsD_137
fig|1415755.3.peg.1018,kpsD_138
fig|1951386.3.peg.3392,kpsD_139
fig|2212467.16.peg.2507,kpsD_140
fig|2737458.3.peg.3504,kpsD_141
fig|2053620.9.peg.1060,kpsD_142
fig|1247729.4.peg.1374,kpsD_143
fig|197.6742.peg.1131,kpsD_144
fig|1903261.3.peg.610,kpsD_145
fig|1869227.3366.peg.2997,kpsD_146
fig|29536.15.peg.2269,kpsD_147
fig|370804.1530.peg.709,kpsD_148
fig|2086574.3.peg.1546,kpsD_149
fig|645.507.peg.1375,kpsD_150
fig|371601.1127.peg.1833,kpsD_151
fig|173974.9.peg.398,kpsD_152
fig|28116.2099.peg.2708,kpsD_153
fig|201.76.peg.1042,kpsD_154
fig|1913989.1466.peg.4508,kpsD_155
fig|195.3299.peg.643,kpsD_156
fig|2212467.701.peg.1193,kpsD_157
fig|821.4876.peg.2407,kpsD_158
fig|79329.217.peg.1559,kpsD_159
fig|1926662.7.peg.431,kpsD_160
fig|162156.1513.peg.1303,kpsD_161
fig|204516.485.peg.2223,kpsD_162
fig|357276.1811.peg.1134,kpsD_163
fig|165435.60.peg.1847,kpsD_164
fig|1972252.3.peg.3405,kpsD_165
fig|246787.705.peg.1047,kpsD_166
fig|2067989.54.peg.2394,kpsD_167
fig|1898428.25.peg.2520,kpsD_168
fig|370804.1498.peg.151,kpsD_169
fig|223185.22.peg.535,kpsD_170
fig|28116.2335.peg.2373,kpsD_171
fig|2685834.4.peg.4456,kpsD_172
fig|197.14871.peg.1011,kpsD_173
fig|29523.237.peg.1936,kpsD_174
fig|370804.859.peg.2095,kpsD_175
fig|1898103.77.peg.1951,kpsD_176
fig|2824119.3.peg.214,kpsD_177
fig|1388764.3.peg.2009,kpsD_178
fig|1913989.213.peg.826,kpsD_179
fig|169973.21.peg.604,kpsD_180
fig|2212467.25.peg.1750,kpsD_181
fig|159272.1490.peg.1574,kpsD_182
fig|1382803.27.peg.1052,kpsD_183
fig|2426.23.peg.1443,kpsD_184
fig|2212467.1710.peg.1281,kpsD_185
fig|1761788.3.peg.2651,kpsD_186
fig|269237.25.peg.1282,kpsD_187
fig|162156.241.peg.3010,kpsD_188
fig|2024405.3.peg.2822,kpsD_189
fig|654.434.peg.1313,kpsD_190
fig|181674.125.peg.213,kpsD_191
fig|58621.3.peg.134,kpsD_192
fig|1031542.15.peg.1257,kpsD_193
fig|363265.361.peg.1306,kpsD_194
fig|197.15205.peg.88,kpsD_195
fig|2608867.15.peg.1404,kpsD_196
fig|562.98945.peg.1709,kpsD_197
fig|2911619.4.peg.704,kpsD_198
fig|1898104.2160.peg.1313,kpsD_199
fig|162156.1645.peg.644,kpsD_200
fig|538949.3190.peg.1149,kpsD_201
fig|197.6706.peg.1742,kpsD_202
fig|35833.549.peg.193,kpsD_203
fig|821.5929.peg.3058,kpsD_204
fig|379097.29.peg.134,kpsD_205
fig|1864939.6.peg.879,kpsD_206
fig|28113.161.peg.986,kpsD_207
fig|1958892.23.peg.1635,kpsD_208
fig|239.593.peg.323,kpsD_209
fig|562.161282.peg.5241,kpsD_210
fig|106590.56.peg.5482,kpsD_211
fig|59823.3511.peg.609,kpsD_212
fig|2212467.85.peg.62,kpsD_213
fig|1872444.2236.peg.798,kpsD_214
fig|59823.3539.peg.2392,kpsD_215
fig|2689618.32.peg.2327,kpsD_216
fig|86473.1769.peg.2660,kpsD_217
fig|1948630.4.peg.1849,kpsD_218
fig|3115001.3.peg.1039,kpsD_219
fig|644.1378.peg.1698,kpsD_220
fig|164546.29.peg.4576,kpsD_221
fig|997873.123.peg.1138,kpsD_222
fig|2212467.185.peg.1505,kpsD_223
fig|194843.2954.peg.1722,kpsD_224
fig|162156.724.peg.2106,kpsD_225
fig|370804.1813.peg.913,kpsD_226
fig|195.490.peg.811,kpsD_227
fig|59823.996.peg.249,kpsD_228
